,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماره","خوشه","نام گروه","نام استاندارد","کد استاندارد قدیم","ISCO",,,,,,,,,,,,,,,"پیشنیاز","سطح تحصيلات ورودي","ساعت- نظری","ساعت-عملی","ساعت-کارورزی","ساعت-پروژه","ساعت کل","کارو دانش","نوع","نام استاندارد به لاتین","تاریخ تدوین و به روز رسانی"
,,,,,"نسخه","کد شایستگی",,,"کد شغل",,,"کد گروه",,,"سطح مهارت","کد ISCO",,,,,,,,,,,,,,
"5","فرهنگ و هنر","صنایع دستی(بافت)","عبا باف","7318-75-004-1","1","0","0","0","4","0","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","28","86","0","0","114","هیچ کدام","شغل",,"1393/06/01"
"6","فرهنگ و هنر","صنایع دستی(بافت)","مخمل باف","7-54/32/1/1","1","0","0","0","1","5","0","5","7","0","2","8","1","3","7","ندارد","پنجم ابتدايي","102","372","0","0","474","هیچ کدام","شغل",,"1390/05/01"
"7","فرهنگ و هنر","صنایع دستی(بافت)","بافنده تور ماهيگيري سرب دار","7318-75-012-1","1","0","0","0","2","1","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","30","80","0","0","110","هیچ کدام","شغل",,"1393/07/09"
"8","فرهنگ و هنر","صنایع دستی(بافت)","بافنده فرش چرمي","7536-75-001-1","1","0","0","0","1","0","0","5","7","0","2","6","3","5","7","ندارد","پایان دوره دوم","20","65","0","0","85","هیچ کدام","شغل",,"1394/06/20"
"9","فرهنگ و هنر","صنایع دستی(بافت)","بافنده گليم تابلويي(تاپستري)","7318-75-033-1","1","0","0","0","3","3","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره متوسطه اول (راهنمایی","57","193","0","0","250","هیچ کدام","شغل",,"1394/08/06"
"10","فرهنگ و هنر","صنایع دستی(بافت)","بافنده زيورآلات كاموايي","7318-75-038-1","1","0","0","0","8","3","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره اول متوسطه","56","107","0","0","163","هیچ کدام","شغل",,"1394/08/30"
"11","فرهنگ و هنر","صنایع دستی(بافت)","بامبوباف","7317-75-002-1","1","0","0","0","2","0","0","5","7","0","2","7","1","3","7","ندارد","پایان دوره راهنمایی","36","44","0","0","80","هیچ کدام","شغل",,"1393/09/01"
"12","فرهنگ و هنر","صنایع دستی(بافت)","چادرشب باف","7318-75-021-1","1","0","0","0","1","2","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","57","112","0","0","169","هیچ کدام","شغل",,"1393/11/01"
"13","فرهنگ و هنر","صنایع دستی(بافت)","دارايي باف","7318-75-016-1","1","0","0","0","6","1","0","5","7","0","2","8","1","3","7","ندارد","پایان دوره راهنمایی","40","75","0","0","115","هیچ کدام","شغل",,"1393/11/01"
